num,year,url,height
27,2007,images/2007/11/22/fashion/22codes600.1.jpg,297
27,2007,images/2007/11/07/garden/08shop-600a.jpg,359
27,2007,images/2007/11/04/nyregion/colwe600.jpg,320
27,2007,images/2007/09/21/travel/23sweden600.1.jpg,300
27,2007,images/2007/08/23/style/tmagazine/26consignment-450.jpg,450
35,2008,images/2008/11/16/realestate/16scap-600.jpg,330
35,2008,images/2008/11/11/realestate/12sale_lg.jpg,430
35,2008,images/2008/11/06/fashion/06price-600.jpg,386
35,2008,images/2008/11/06/garden/06white-600.jpg,331
30,2009,images/2009/12/02/fashion/03perfect/popup.jpg,500
30,2009,images/2009/11/30/style/01iht-faudrey-inline1/popup.jpg,500
30,2009,images/2009/10/05/fashion/EmanelUngaro.190.jpg,285
64,2010,images/2010/12/26/realestate/habi-2/habi-2-articleLarge.jpg,330
64,2010,images/2010/11/21/realestate/21covspan/21covspan-articleLarge.jpg,330
64,2010,images/2010/11/14/realestate/Posting/Posting-articleLarge.jpg,350
64,2010,images/2010/10/08/us/08BCREDISTRICT/08BCREDISTRICT-articleLarge.jpg,315
63,2011,images/2011/12/15/fashion/15CUSTOM1_SPAN/15zCUSTOM1-articleLarge.jpg,380
63,2011,images/2011/12/11/nyregion/11DINENJ2_span/11DINENJ2_span-articleLarge.jpg,350
63,2011,images/2011/10/20/fashion/20GROOMS_SPAN/20GROOMS_SPAN-articleLarge-v2.jpg,375
50,2012,images/2012/12/26/greathomesanddestinations/26-GH-WYG-SPAN/26-GH-WYG-SPAN-articleLarge.jpg,360
50,2012,images/2012/12/24/arts/24STEDELIJK/24STEDELIJK-articleLarge-v2.jpg,382
50,2012,images/2012/12/06/garden/06SHOP_SPAN/06SHOP_SPAN-articleLarge.jpg,360
50,2012,images/2012/11/28/greathomesanddestinations/28GH-WYG_SPAN/28GH-WYG_SPAN-articleLarge.jpg,350
50,2012,images/2012/11/21/greathomesanddestinations/20121121-GH-WYG-slide-87UE/20121121-GH-WYG-slide-87UE-articleLarge.jpg,350
50,2012,images/2012/11/15/garden/15WOODCARVER_SPAN/15WOODCARVER_SPAN-articleLarge.jpg,360
50,2012,images/2012/10/16/sports/NETS1/NETS1-articleLarge.jpg,330
50,2012,images/2012/10/09/nyregion/APPRAISAL2/APPRAISAL2-articleLarge.jpg,330
