,VHXX,[X] CLOSED Kai Tak,22.325263,114.192227
E46,,02 Ranch,29.876323545,-103.70122411
,SSOK,14 Bis,-23.21480832,-51.19038734
,1RSU,1RSU-NT,-23.530650345,133.67681821
1T1,,2 G Ranch,29.652892245,-96.580951085
,NM47,2 X 4 Ranch,32.7776848033,-104.38185988
,OG00,3 Rivers Recreation Area,44.55532615,-121.41036121
,CA54,33 Strip,37.67109012,-121.33038436
,96GA,3MS,33.18994529,-84.36822714
7I6,,4 Winds Aerodrome,39.82765015,-86.88340117
9M9,,4B Ranch,32.41059337,-91.35246092
,XS50,4G Ranch,27.385576965,-98.314418655
,PA81,5 Lakes,39.91337966,-77.53681478
,1OK8,5B Ranch,35.73305984,-97.54164305
,63KS,5D Ranch,39.32989767,-97.0635407
,73WA,7 Bays,47.85434194,-118.32844814
,PS53,7H Skeet Club Inc Field,40.63744456,-78.58386777
,81CA,7M Ranch,38.72258917,-122.57520947
,CL25,7R Ranch,34.93733144,-119.45504628
,FD02,85th Avenue Airstrip,29.48875822,-82.02388186
,96KY,A & L,37.55218871,-87.27381043
,RKSG,A 511,36.969675,127.020522
,WY11,A A RANCH,41.16436138,-106.56016182
LCG,LECO,A Coruna,43.29477658,-8.38325303
,61PN,A G A Farms,40.42263278,-75.2355027
OCH,KOCH,A L Mangham JR RGNL,31.584622,-94.7095
APH,KAPH,A P HILL AAF,38.066664,-77.321561
,TX27,A P Ranch,27.86126259,-99.08251211
,XS79,A W Ranch,29.26103752,-98.45849671
U23,,A Z Minerals Corporation,37.11712747,-109.98812275
,XS39,A&A Flying Service,29.53542223,-95.26467791
,MI21,A.C. Miller,41.73573862,-84.56706017
7Y7,,A.R.S. Sport Strip,44.6700803,-93.7840836
,EGVP,AAC Middle Wallop,51.1468658033,-1.56993263333
AAH,EDKA,Aachen Merzbruck,50.82363517,6.18333263
AAL,EKYT,Aalborg,57.092811445,9.83442855
,EDPA,AALEN HEIDENHEIM ELCHINGEN,48.7774995,10.258268
,FY00,Aandster,-25.3535,16.0954
AAR,EKAH,Aarhus,56.3064625,10.597682
,1VA7,Aaron Penston Fld,36.6635072,-78.72266607
81Y,,Aarons Field,40.85891819,-98.06480541
,EKVH,Aars,56.847423935,9.454876675
JEG,BGAA,Aasiaat,68.72101972,-52.79444788
,EFAA,Aavahelukka,67.60585683,23.96972878
,SNDH,Aba,-12.1585617,-45.02774416
,FY01,Ababis Guest Farm,-23.9906,16.0767
ABD,OIAA,ABADAN,30.3750415,48.2250845
,SNLI,ABAETE,-19.150944,-45.497694
ABF,NGAB,Abaiang Atoll,1.80097433,173.03631723
ABA,UNAA,ABAKAN,53.7339016667,91.3782906667
,SDLI,ABARE,-8.736231,-39.120711
XAB,LFOI,Abbeville,50.138272,1.82865
0R3,,ABBEVILLE CHRIS CRUSTA MEM,29.98215,-92.087067
0J0,,Abbeville Municipal,31.60409087,-85.23971756
,EIAB,Abbeyshrule,53.59186495,-7.65310331
,YABG,Abbieglassie,-27.3351351,147.2649032
YXX,CYXX,Abbotsford,49.0213238,-122.37759093
,83NE,Abbott,42.32852623,-99.75882401
MLG,WARA,Abdul Rachman Saleh,-7.918922,112.7126525
AEH,FTTC,ABECHE,13.847986,20.830308
,77KS,Abel Ranch,37.3706602,-96.87795151
SNU,MUSC,ABEL SANTAMARIA,22.488928,-79.957844
AEA,NGTB,Abemama Atoll,0.491582,173.824607
ABZ,EGPD,Aberdeen Dyce,57.2059653525,-2.2019303025
,31VA,ABERDEEN FIELD,37.012261,-76.591092
U36,,ABERDEEN MUNI,42.920328,-112.887839
ABR,KABR,ABERDEEN RGNL,45.4553945,-98.4276945
,YABF,Aberfoyle,-21.67270716,145.26320141
,GA61,Abernathy Fld,33.26640069,-84.50005669
,KGZS,ABERNATHY FLD,35.159825,-87.060611
F83,,ABERNATHY MUNI,33.8473515,-101.766511
AHB,OEAB,ABHA,18.249908,42.644272
,MS08,Abide Airpark,33.30880207,-90.99018579
ABJ,DIAP,Abidjan Felix Houphouet Boigny Intl,5.248847,-3.931453
,NE27,Abie Sky Ranch,41.3708367,-96.95080266
K78,,ABILENE MUNI,38.909683,-97.235844
ABI,KABI,ABILENE RGNL,32.4187383333,-99.684837
ABB,EGUD,Abingdon Dalton Barracks,51.692863815,-1.320577655
,YABI,Abingdon Downs,-17.6054361,143.181562435
,5FD5,Able Airpark,30.59542407,-84.98449447
,WX01,Aboge (AMA),-6.06451705,139.26436626
,WAKH,Abohoy (DGAC)),-6.16610219,139.26369428
,WX02,Aboyi (UFM),-4.29395203,140.63952025
,X6AB,Aboyne,57.07443953,-2.84352376
,OEBQ,ABQAIQ,25.918536,49.586639
CJS,MMCS,ABRAHAM GONZALEZ INTL,31.6357565,-106.4340765
,7CA1,Abraham Ranch,34.41604911,-116.62897599
4D0,,ABRAMS MUNI,42.7762705,-84.7364475
,FB00,Abu,-19.4239,22.5445
,OS57,ABU AD DUHUR,35.732828,37.087625
,OEAA,ABU ALI,27.324914,49.583169
AUH,OMAA,ABU DHABI INTL,24.444389,54.635206
,OM11,ABU DHABI NORTHEAST,24.525236,54.972014
,VA74,ABU ROAD,24.493439,72.775972
,HE29,ABU RUDEIS,28.904964,33.194814
ABS,HEBL,ABU SIMBEL,22.387678,31.604428
,HE35,ABU SUWAYR,30.57516,32.080467
,OIBA,ABUMUSA ISLAND,25.874189,55.018197
,SWAB,Abuna,-9.69582359,-65.36757855
,YACS,Acacia Downs,-31.42100005,141.90211219
ARA,KARA,ACADIANA RGNL,30.048494,-91.886628
MFV,KMFV,Accomack County,37.64053355,-75.76439061
ACC,DGAA,Accra_Kotoka_Intl,5.58838023,-0.17336539
,67WI,Accurate,43.97464503,-89.99707223
3AE,,Ace Airpark,40.04562461,-85.67290464
,EDXA,Achmer,52.37703802,7.91152823
9M4,,ACKERMAN CHOCTAW CO,33.2994,-89.229253
4C7,,Ackley Municipal,42.5487738,-93.03613695
EG2,,Acme,51.44668641,-113.51580332
06S,,Acme Field,48.70776494,-122.1787
74J,,Acres of Diamonds Airpark,30.89041328,-85.16390201
,4CA7,Acrewood,39.67441066,-121.88614671
