year,url,height
2007,images/2007/10/10/garden/11shop600.1.jpg,401
2007,images/2007/09/16/nyregion/girl450.jpg,450
2007,images/2007/08/16/garden/16madmen-600.jpg,330
2007,images/2007/08/02/garden/02newport-600.jpg,330
2008,images/2008/11/02/nyregion/02streetct.span.jpg,353
2008,images/2008/10/12/nyregion/new-jersey/12rhome.large.jpg,544
2008,images/2008/05/22/garden/22shop_span.600.jpg,320
2008,images/2008/05/08/garden/08store_1.600.jpg,382
2009,images/2009/12/17/garden/17online/popup.jpg,500
2009,images/2009/10/07/style/global/rmlg.jpg,600
2009,images/2009/08/03/greathomesanddestinations/04paris_span.jpg,400
2009,images/2009/06/28/travel/newfrugal600.jpg,392
2010,images/2010/12/26/realestate/habi-2/habi-2-articleLarge.jpg,330
2010,images/2010/12/26/realestate/habi-2/habi-2-articleLarge.jpg,330
2010,images/2010/08/13/fashion/webfield/webfield-articleLarge.jpg,350
2010,images/2010/08/13/fashion/webfield/webfield-articleLarge.jpg,350
2011,images/2011/11/11/arts/11PAVILION_SPAN/11PAVILION_SPAN-articleLarge.jpg,360
2011,images/2011/06/27/style/global/27iht-rskirts27-redone/27iht-rskirts27-redone-articleLarge.jpg,355
2011,images/2011/06/27/style/global/27iht-rskirts27-redone/27iht-rskirts27-redone-articleLarge.jpg,355
2011,images/2011/03/13/travel/Journeys-1/Journeys-1-articleLarge.jpg,354
2011,images/2011/03/13/travel/Journeys-1/Journeys-1-articleLarge.jpg,354
2011,images/2011/01/13/garden/13wallpaperspan1/13wallpaperspan1-articleLarge.jpg,400
2012,images/2012/11/07/dining/07HUNGRY_SPAN/07HUNGRY_SPAN-articleLarge.jpg,354
2012,images/2012/11/01/garden/01FURNITURE_SPAN/01FURNITURE_SPAN-articleLarge.jpg,400
2012,images/2012/10/02/fashion/02FASHION_SPAN/02FASHION_SPAN-articleLarge.jpg,397
2012,images/2012/10/01/fashion/01iht-fceline01-span/01iht-fceline01-span-articleLarge.jpg,360
2012,images/2012/09/17/fashion/17iht-fprint17-span/17iht-fprint17-span-articleLarge.jpg,360
2012,images/2012/09/13/fashion/13iht-fnew13-span/13iht-fnew13-span-articleLarge.jpg,360
2012,images/2012/08/17/arts/17WEGMAN_SPAN/17WEGMAN_SPAN-articleLarge.jpg,360
2012,images/2012/06/29/fashion/29iht-flv29-inline/29iht-flv29-inline-articleLarge.jpg,360
